nombre,proteinas,carbos,grasas,kcal
Pechuga de pollo cruda,22.2,0.0,2.6,112
Muslo de pollo crudo,17.5,0.0,8.1,143
Ternera magra cruda,21.0,0.0,5.0,129
Cerdo lomo crudo,22.0,0.0,3.5,120
Salmón crudo,20.0,0.0,13.0,197
Merluza cruda,11.9,0.0,1.2,58
Atún al natural en lata,23.5,0.0,0.8,101
Huevo entero crudo,12.5,0.0,11.1,150
Clara de huevo,11.1,0.7,0.2,49
Arroz blanco crudo,2.7,79.0,0.6,340
Arroz integral crudo,2.6,73.4,2.2,345
Avena copos,13.5,58.7,7.0,365
Pasta de trigo cruda,12.5,71.0,1.5,359
Patata cruda,2.0,15.2,0.1,73
Boniato crudo,1.6,20.1,0.6,86
Garbanzos secos,19.4,44.3,5.0,341
Lentejas secas,23.8,40.6,1.8,310
Aceite de oliva,0.0,0.0,99.9,899
Nueces crudas,14.3,3.3,62.5,649
Almendras crudas,21.2,5.3,52.8,595
Leche entera vaca,3.1,4.7,3.6,61
Leche semidesnatada,3.3,4.7,1.5,45
Yogur natural entero,3.8,4.6,3.0,61
Plátano crudo,1.2,20.0,0.3,89
Manzana cruda,0.3,11.4,0.2,52
Tomate crudo,0.9,3.5,0.2,19
Cebolla cruda,1.2,5.3,0.2,26
Aguacate crudo,1.5,2.0,12.0,137
Pan blanco trigo,8.5,50.0,1.6,261
Pan integral trigo,10.9,41.0,2.9,258
